event_idx,slice_idx,event_class,duration,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewnessSig,SkewnessEnv,CorPeakNumber,INT1,INT2,INT_RATIO,ES[0],ES[1],ES[2],ES[3],ES[4],KurtoF[0],KurtoF[1],KurtoF[2],KurtoF[3],KurtoF[4],DistDecAmpEnv,"env_max/duration(Data,sps)",MeanFFT,MaxFFT,FmaxFFT,FCentroid,Fquart1,Fquart3,MedianFFT,VarFFT,NpeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,gamma1,gamma2,gammas,SpecKurtoMaxEnv,SpecKurtoMedianEnv,RATIOENVSPECMAXMEAN,RATIOENVSPECMAXMEDIAN,DISTMAXMEAN,DISTMAXMEDIAN,NBRPEAKMAX,NBRPEAKMEAN,NBRPEAKMEDIAN,RATIONBRPEAKMAXMEAN,RATIONBRPEAKMAXMED,NBRPEAKFREQCENTER,NBRPEAKFREQMAX,RATIONBRFREQPEAKS,DISTQ2Q1,DISTQ3Q2,DISTQ3Q1
0.0,0.0,2.0,60.02,3.19744305157,3.35312870741,6.82019543974,2.90291745497,3.13014851077,0.0193427865872,0.57049454368,1.0,667.722992473,688.851201043,0.969328341827,5.32728652342,5.88255695567,5.96848723011,6.2540502024,6.27717614868,3.0787265969,2.97812556098,2.82631743947,2.83374732979,2.76428100709,0.184159392501,11.8742678528,0.102537855169,0.0145230268961,12.8693528694,14.3345543346,10.8180708181,19.4383394383,0.00277301026861,0.0591919008391,2.0,0.882477972132,408.260415502,7.59212622099,2.31712974322,1.82446286936,13.1048305355,13.4159227485,2.87235092364,0.77563729074,3.84859355118,22.4059386648,2172.62340492,13024.0962343,13616.9733938,20.0,35.0,53.0,0.571428571429,0.377358490566,66.0,76.0,1.15151515152,3.68124242342,5.72655949271,9.40780191613
1.0,0.0,2.0,60.015,3.27275078778,3.42767069734,3.8713474026,2.8952256487,3.21801733796,0.0014375182905,0.576551464042,1.0,678.959010168,654.989596027,1.03659510668,5.32072888334,5.87432691675,5.95417510415,6.23854544272,6.26544583753,3.09912238197,2.95012834306,2.79634403109,2.8781225721,2.82548934121,0.19994283137,11.8752942866,0.101925978295,0.0141832763082,12.8449328449,13.894993895,10.6471306471,17.9242979243,0.000997628811107,0.0605135463256,2.0,0.923619242153,410.227996116,6.07205234432,0.720575796268,0.467970936342,13.155076571,13.4586667551,2.84247625091,0.211687578033,4.11022811062,22.4924485919,2229.4204023,12603.7083444,13175.5762408,20.0,34.0,73.0,0.588235294118,0.27397260274,74.0,81.0,1.09459459459,3.75100644866,6.06191926579,9.81292571445
2.0,0.0,2.0,60.015,2.6166748003,2.7276772512,0.271234907859,2.78716220346,2.87187627331,0.0182693471199,0.476932438845,1.0,605.742308292,668.567750508,0.906029804507,5.3291990735,5.88434127605,5.96726917363,6.26665952594,6.29152334501,3.10534754857,2.95969425203,2.86816266863,2.73410439116,2.60582510194,0.116199175928,9.88686186725,0.102746306714,0.0147772999543,12.6251526252,14.6031746032,11.0378510379,20.2686202686,0.00347984066824,0.0597667543268,2.0,0.932943609337,407.128918855,8.28570313773,3.01693112787,2.41618693774,13.1076039851,13.415079878,2.85571110291,-0.169719787187,0.496750285324,23.5568354359,2125.59019934,13786.0870796,14395.1530711,7.0,26.0,67.0,0.269230769231,0.10447761194,46.0,72.0,1.5652173913,3.57126148952,5.68864069311,9.25990218263
2.0,1.0,2.0,60.02,3.23174451078,3.38256162852,2.32428690114,2.88254036032,3.20828267768,0.000930771068816,0.578318851734,1.0,612.277627455,648.495648487,0.944150710777,5.32550995745,5.8761885032,5.95752079488,6.24752660585,6.26991971826,3.10049571207,2.91398180345,2.75336234891,2.88205951385,2.89851171513,0.183267906685,11.8758212913,0.105313892725,0.0142707165128,12.8449328449,14.822954823,11.0622710623,21.0989010989,0.00432627691011,0.060117355046,3.0,0.871550384234,414.803432512,9.75689133694,3.76487878313,3.03901915379,13.1510706427,13.4773069861,2.9473962321,-0.206033045278,0.285239455641,22.5601971765,1996.27526052,12500.2765341,13071.5650761,16.0,31.0,55.0,0.516129032258,0.290909090909,62.0,84.0,1.35483870968,3.81945726871,6.52745050242,10.3469077711
4.0,0.0,2.0,60.015,3.24246415397,3.40405007139,2.49941690962,2.87870005098,3.17883189748,0.00141741517234,0.569505837019,1.0,661.905336571,650.684866876,1.01724409198,5.32672534039,5.87945489705,5.96235929277,6.24514729585,6.26521259138,3.21744667317,2.93453807628,2.76730758305,2.85716080176,2.84479229662,0.191856409529,11.8774994304,0.102397536626,0.0144513511627,12.8449328449,13.8217338217,10.5494505495,17.8266178266,0.000996608787693,0.060438106193,2.0,0.921823907874,412.276239442,6.06539308679,0.658766082297,0.419681444832,13.1235955912,13.432370091,2.8635301677,-0.111295562459,0.825965572954,22.1257183794,1980.22042105,12451.9219004,13025.3519912,18.0,31.0,58.0,0.58064516129,0.310344827586,62.0,82.0,1.32258064516,3.85918172544,6.43848085142,10.2976625769
4.0,1.0,2.0,60.02,3.16281000263,3.36737712794,0.61539496703,2.87689311457,3.23972680431,0.0165153409528,0.622775454969,1.0,583.031684561,720.712824119,0.808965325786,5.33079517269,5.88609620625,5.9693688813,6.25042921421,6.28745804051,2.87179447062,2.89562302354,2.70552408476,2.86697171363,2.71038342219,0.169120871082,11.874633287,0.106922327653,0.0144264475588,12.8205128205,14.3833943834,10.9157509158,18.8522588523,0.00109303814016,0.059953440002,2.0,0.910586496416,423.967129778,13.2780621425,0.450197379291,0.258340335721,13.4007093009,13.7645517884,3.14386325498,0.133488016561,1.13507864565,23.5802648929,2068.23836155,13698.7789364,14299.9684742,14.0,17.0,46.0,0.823529411765,0.304347826087,54.0,81.0,1.5,3.72687630346,6.45899968237,10.1858759858
5.0,0.0,2.0,60.02,3.32227595254,3.5773180705,0.186517742414,2.99400415043,3.49905247188,0.0362416698494,0.724343694552,1.0,676.789113931,700.280003262,0.966455004825,5.34082955882,5.88335764696,5.9605483187,6.23813079894,6.26002059542,2.87029467925,2.94326872746,2.79220994233,2.85396205165,2.86691669634,0.1917397215,12.7402670245,0.109598527356,0.0141175122201,12.7716727717,14.8717948718,11.1355311355,20.4395604396,0.00250424322909,0.06046237821,2.0,0.922091844974,429.024101174,16.2250090788,2.0394634345,1.62621413776,13.3956313364,13.7760465713,3.2150459147,-0.118695196463,2.57385150396,22.364656235,2240.34165965,13361.523945,13984.137178,7.0,11.0,24.0,0.636363636364,0.291666666667,24.0,1.0,0.0416666666667,4.79336306102,7.36281314814,12.1561762092
5.0,1.0,2.0,60.02,3.19650563474,3.42753752889,2.4044242768,2.98210978726,3.30153873647,0.0454175398766,0.679015252153,1.0,857.442610785,600.744830746,1.42729919077,5.34829529194,5.89219307041,5.97059642203,6.25298350566,6.27334162505,2.8826425394,3.01572421035,2.78555558079,2.74954974702,2.89364368095,0.174482695445,12.912929968,0.125239268204,0.0140534586289,12.8937728938,16.6788766789,11.8681318681,25.3235653236,0.00609720385055,0.0633776032921,2.0,0.889835615262,465.196978314,38.2554938535,5.37898211913,4.14663745207,14.0421656112,14.6483636046,4.17038861986,0.0905430326324,-0.301787125625,21.2457063391,2037.38433265,14551.9304208,15260.0717952,17.0,21.0,62.0,0.809523809524,0.274193548387,46.0,1.0,0.0217391304348,5.58177862151,9.40369814994,14.9854767715
5.0,2.0,2.0,60.02,3.18551475021,3.40119298098,0.594792081839,3.00251393075,3.22729004983,0.0326273920783,0.653109968608,1.0,795.946585468,554.329052302,1.43587384093,5.34621481733,5.88679334527,5.96469376973,6.25404596919,6.25667332763,2.95187830738,3.04080546137,2.91074151215,2.65097778604,3.04376013549,0.181440883949,12.9142043674,0.121877357577,0.0142102567733,13.0158730159,15.7264957265,11.5018315018,22.0512820513,0.00245049393098,0.0635710901943,2.0,0.903912012661,463.745933084,32.7616340415,1.71647782078,0.985109476391,14.1077147846,14.6742985932,4.03824500972,-0.178316335692,0.284302412006,19.7227649561,1895.78932693,13412.1730187,14125.1758958,13.0,24.0,22.0,0.541666666667,0.590909090909,44.0,1.0,0.0227272727273,6.21375861483,11.2164137516,17.4301723664
6.0,0.0,2.0,60.015,3.22449764655,3.46707616363,4.6141253508,3.00930045075,3.3680279973,0.0258931277655,0.697369400994,1.0,761.689039416,615.898637624,1.23671168093,5.34539790467,5.89137785011,5.96593771852,6.25314706082,6.278862434,2.8824441037,2.99119919988,2.76587623363,2.75345979504,2.84670750524,0.150806961714,12.914163448,0.117579712159,0.0141081241672,12.8205128205,15.5067155067,11.4285714286,21.8803418803,0.00216429310586,0.0619276689343,2.0,0.924959287043,449.382626193,28.7053211471,1.92585432113,1.5919405371,13.7493320003,14.252331876,3.75297661189,-0.478518857511,-0.431992581588,21.4799116058,2020.4779336,14218.378,14906.9174341,16.0,19.0,99.0,0.842105263158,0.161616161616,40.0,1.0,0.025,5.3934978287,9.01958563452,14.4130834632
6.0,1.0,2.0,60.015,3.21961191572,3.43978435654,0.955204430689,2.98893014496,3.30696354853,0.0457806275047,0.662369992467,1.0,881.197065789,576.424784567,1.5287286206,5.34502674638,5.88549771426,5.96662684984,6.25250303795,6.2562788005,2.9201010572,3.04228057824,2.91236508961,2.69008855342,2.92903884783,0.186389419988,12.9145716463,0.124875509985,0.014270844767,12.8937728938,16.5811965812,11.8437118437,25.0549450549,0.0057104333812,0.0632652044567,3.0,0.895167012072,464.699624548,37.8034843761,5.0666292442,3.91846046966,14.0763227818,14.6774913682,4.15763031107,-0.182080512489,1.45825921127,20.087388134,1717.02017125,13467.5631084,14166.4081654,8.0,16.0,89.0,0.5,0.0898876404494,55.0,1.0,0.0181818181818,5.87150451455,10.6034752334,16.4749797479
6.0,2.0,2.0,60.015,3.23230947285,3.44546713228,0.183727810651,3.06079465311,3.22334572303,0.00772059329766,0.669079121869,1.0,819.885679813,630.440842875,1.30049581825,5.35180919241,5.88829787026,5.97195565378,6.25418843455,6.26687902101,3.00091105308,3.09508487783,2.9712781361,2.83061247533,2.97074854684,0.188936018218,12.9138218134,0.121248342135,0.0142749857846,12.7716727717,16.1172161172,11.6483516484,23.7362637363,0.0045437028107,0.0624820756896,2.0,0.9052696581,458.531022224,31.0291268501,3.97182886538,3.09974108822,13.8860615522,14.4185967639,3.88242542885,0.207364519741,0.783671077834,19.5332686656,1698.45508326,13250.5751836,13952.3176661,13.0,22.0,74.0,0.590909090909,0.175675675676,51.0,2.0,0.0392156862745,6.12577386771,11.419796404,17.5455702717
8.0,0.0,2.0,60.015,2.8461687431,2.99116623404,0.688898269312,2.91047194285,2.82138758172,0.0412650359542,0.535423082763,1.0,574.237274017,649.951729358,0.88350757153,5.33674714697,5.8777151229,5.9591853946,6.23632671981,6.25628086839,2.95141566225,3.0609672236,3.06760261078,2.95575331558,3.05726444108,0.166215721119,10.1569341706,0.103850889267,0.0143565004359,13.0158730159,14.4322344322,10.8913308913,19.7557997558,0.00305702050413,0.0605151454439,2.0,0.907710456414,412.611265086,8.1068126491,2.59972812711,2.0544676661,13.1000671612,13.4149430779,2.88945291587,0.151726038765,1.11912582556,22.738336485,2021.17034075,12398.0877777,12950.7056408,4.0,15.0,68.0,0.266666666667,0.0588235294118,53.0,72.0,1.35849056604,3.70898388287,5.99658730804,9.7055711909
8.0,1.0,2.0,60.015,3.27063325255,3.46366584327,4.19160899654,3.01323677003,3.0509389568,0.0013115839855,0.609181800259,1.0,571.249720578,674.235059897,0.847256030656,5.34390783776,5.89452129373,5.9736528591,6.25489779772,6.27267191708,2.93056493797,2.95237071086,2.95567947424,2.80740565489,3.19350004935,0.115104068954,12.007466602,0.104509233541,0.0135640939316,12.7228327228,14.0170940171,10.6471306471,18.3394383394,0.00140654302497,0.0614664939683,2.0,0.918659935273,419.276656241,6.90993909675,1.09749117573,0.785354441457,13.1447507058,13.4664818266,2.9260317272,0.860315919091,1.10644714871,22.993836192,2191.907782,13559.0099179,14150.8382408,4.0,5.0,27.0,0.8,0.148148148148,62.0,80.0,1.29032258065,3.75314040708,6.30765278527,10.0607931923
8.0,2.0,2.0,60.015,3.30420641816,3.47521101532,0.901314747347,2.96074575678,2.97363673306,0.0205644371868,0.550866078631,1.0,587.800395522,549.362516818,1.0699681495,5.33689604512,5.87718019775,5.93645990436,6.24351181737,6.27614094669,2.93419319769,2.9176550321,3.07660345253,2.81557115801,3.01129561267,0.134083998309,12.0066326426,0.112177148006,0.0140062954879,12.5763125763,15.57997558,11.4041514042,23.4920634921,0.00610425975516,0.0616681386794,2.0,0.947591206192,432.589311755,17.3779524431,5.28316982847,4.22513421021,13.262893577,13.6452900819,3.20773991841,1.92794239581,0.757782921843,22.9812867296,2103.86260931,13206.0955716,13784.5817519,4.0,4.0,31.0,1.0,0.129032258065,56.0,86.0,1.53571428571,3.76413850047,6.42764690867,10.1917854091
