event_idx,slice_idx,event_class,duration,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewnessSig,SkewnessEnv,CorPeakNumber,INT1,INT2,INT_RATIO,ES[0],ES[1],ES[2],ES[3],ES[4],KurtoF[0],KurtoF[1],KurtoF[2],KurtoF[3],KurtoF[4],DistDecAmpEnv,"env_max/duration(Data,sps)",MeanFFT,MaxFFT,FmaxFFT,FCentroid,Fquart1,Fquart3,MedianFFT,VarFFT,NpeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,gamma1,gamma2,gammas,SpecKurtoMaxEnv,SpecKurtoMedianEnv,RATIOENVSPECMAXMEAN,RATIOENVSPECMAXMEDIAN,DISTMAXMEAN,DISTMAXMEDIAN,NBRPEAKMAX,NBRPEAKMEAN,NBRPEAKMEDIAN,RATIONBRPEAKMAXMEAN,RATIONBRPEAKMAXMED,NBRPEAKFREQCENTER,NBRPEAKFREQMAX,RATIONBRFREQPEAKS,DISTQ2Q1,DISTQ3Q2,DISTQ3Q1
0.0,0.0,2.0,30.01,3.07936213517,3.19276208522,43.7910447761,2.83215134885,3.18055456115,0.0367182311245,0.52886643044,1.0,452.228959197,442.677469108,1.02157663481,5.03799253306,5.58143000969,5.6708086461,5.96130151435,6.00180560606,3.01991739641,3.02706258063,2.78248073528,2.87516422693,2.67897149028,0.229095838832,23.700553348,0.103056365087,0.0128162314964,12.8449328449,14.6764346764,11.0378510379,20.3663003663,0.00358950199001,0.0588406649012,2.0,0.924659791457,407.373444652,9.42711356095,2.98337042759,2.33380398381,13.1749553949,13.4893736027,2.89547069317,1.28289984704,1.2857565453,23.8699767267,2599.83207284,13680.0514364,14278.0947993,9.0,23.0,23.0,0.391304347826,0.391304347826,28.0,39.0,1.39285714286,3.53494003404,5.37154747078,8.90648750482
0.0,1.0,2.0,30.015,3.25572283972,3.42632283691,1.81170960187,2.97773117746,3.39311483022,0.0182268765939,0.627848292829,1.0,391.38970576,392.977686185,0.995959107906,5.01873307466,5.56860338859,5.64688053177,5.9268487034,5.96952651675,2.92047056577,3.01450896995,2.93638611326,3.01636137909,2.86370472414,0.196290444032,23.7445435854,0.108838468164,0.0121227581005,12.8205128205,14.6764346764,11.0622710623,19.706959707,0.00203349106066,0.060701335283,3.0,0.890650165798,428.189349316,15.3072640781,1.34928869171,0.955992603632,13.4440947283,13.8113954046,3.16401010728,1.82556344159,1.2670168045,23.4690518851,2281.32835994,12751.0188714,13313.7578837,8.0,23.0,22.0,0.347826086957,0.363636363636,38.0,9.0,0.236842105263,3.71092619332,6.20946653368,9.92039272701
1.0,0.0,2.0,30.01,2.5404171104,2.59436297808,2.06537282942,2.75952636571,2.74450633947,0.0041649846781,0.397636419562,1.0,516.848753182,459.689296905,1.12434367444,5.03793387908,5.57379298218,5.6476018707,5.9502660306,5.97904864797,3.31544223576,3.01643334314,2.8973403626,2.85875039206,2.60517469424,0.0922140879137,18.8739161238,0.106627466247,0.0123462968104,12.8449328449,15.5311355311,11.4285714286,23.9316239316,0.00686872160673,0.0593788576986,2.0,0.895597685574,413.094056968,12.9010461019,5.95297743664,4.79570566465,13.1662689771,13.5107621265,3.03151026087,-0.389552310501,3.63561899269,22.5148270022,2391.7680126,12401.3856537,12966.436055,9.0,23.0,38.0,0.391304347826,0.236842105263,34.0,43.0,1.26470588235,3.63715755889,5.49989827868,9.13705583756
1.0,1.0,2.0,30.015,3.12065552833,3.2630420383,11.9375,2.89035859545,3.20456596795,0.0341927150284,0.576290691948,1.0,410.706074574,440.973527488,0.931362199707,5.03213519853,5.5793662398,5.66842773813,5.95456967045,5.99971655511,2.93225811317,3.03391356827,2.79740603088,2.92914992921,2.70354574368,0.194788547411,23.7188741896,0.103974502191,0.012670077176,12.8449328449,14.7985347985,11.0866910867,20.8058608059,0.00403613727648,0.0590412055389,2.0,0.928669386337,409.837884366,10.0536042318,3.33487863906,2.65188922602,13.1895711811,13.5103786949,2.92669515638,2.52880000756,1.89554979725,23.9513847494,2476.93905253,13769.4487441,14361.222916,11.0,24.0,44.0,0.458333333333,0.25,31.0,42.0,1.35483870968,3.51939238463,5.56936649945,9.08875888408
1.0,2.0,2.0,30.01,3.29742023791,3.48228105156,1.43587662338,3.00805684519,3.48884800434,0.000142772167531,0.664600296436,1.0,410.235377882,418.377641281,0.980538483428,5.01439918151,5.56489616798,5.64053272573,5.9149084994,5.95746789539,2.90560821735,3.06658265822,2.9708551405,3.04275414958,2.92197580311,0.19994283137,23.7490485287,0.112902995493,0.0119841389455,12.7960927961,15.7753357753,11.5750915751,23.3943833944,0.00559289199915,0.0603447782705,2.0,0.932424043587,433.464302934,20.3563673902,4.78538402358,3.84280648795,13.5224878487,13.9296071484,3.3430940294,0.889107077893,0.794080110244,22.6661468477,2258.57605371,11832.8353356,12375.9499997,14.0,21.0,22.0,0.666666666667,0.636363636364,46.0,45.0,0.978260869565,3.80553529399,6.3044064354,10.1099417294
2.0,0.0,2.0,30.01,2.50020423897,2.5669899696,1.21885397412,2.74821344252,2.74823874309,0.0268644722661,0.409539945612,1.0,493.69216995,453.902175728,1.08766204779,5.03447283803,5.5780510699,5.66396725773,5.9557201393,5.98913095552,3.182952899,3.00533643599,2.8507047555,2.83270433058,2.50303348381,0.0919983371659,18.8714154954,0.10347443216,0.0125346814889,12.8449328449,14.6031746032,11.0134310134,20.1709401709,0.00330225691235,0.0594772263117,2.0,0.894784449896,409.748111919,9.01039401248,2.8245951176,2.24708536191,13.1570035032,13.4726750526,2.89935025286,0.596514833407,1.13950602485,22.9980267816,2149.9018564,13154.4318507,13739.2387477,12.0,22.0,45.0,0.545454545455,0.266666666667,22.0,39.0,1.77272727273,3.62491791999,5.79795002589,9.42286794587
2.0,1.0,2.0,30.01,3.17430235507,3.32505966233,3.96033057851,2.90132461536,3.31896133292,0.0422926094352,0.595101668277,1.0,389.747994103,429.63365225,0.907163561471,5.02727996729,5.56840203703,5.65186310895,5.94337462852,5.99009764056,2.93216091053,3.11481450812,2.94784485947,2.89777247451,2.70995701738,0.18731575727,23.7523257844,0.103168853731,0.012515084403,12.8449328449,14.2857142857,10.8424908425,18.9499389499,0.00200577477411,0.0594300641013,3.0,0.894280556289,410.95720353,9.05744883873,1.45745373988,1.10698385106,13.2375069388,13.5518929714,2.90210495228,1.7178637966,2.18044926888,24.0026502309,2189.19523206,13570.5596569,14149.3877518,12.0,21.0,52.0,0.571428571429,0.230769230769,26.0,41.0,1.57692307692,3.62094830737,5.99808466191,9.61903296929
2.0,2.0,2.0,30.01,3.34077588226,3.5461964769,0.869199626285,3.04502224181,3.67832985567,0.0136441727709,0.731490160279,1.0,433.444043577,447.566498422,0.968446130588,5.02014983496,5.57085670037,5.65444142119,5.9136939959,5.93600646629,2.89681203399,3.02653515147,2.91757969442,2.98714379061,3.06041592706,0.19266415461,23.7484635225,0.111940707414,0.0118861838595,12.7960927961,15.2869352869,11.3308913309,21.6605616606,0.00381942622007,0.0606410678702,2.0,0.928225820631,434.732421089,18.0076412775,3.20177381048,2.56605535039,13.5075747968,13.9081207059,3.3137961129,-0.105010578354,1.30770726537,21.1091346598,1965.92795774,10731.2572324,11253.586683,12.0,17.0,41.0,0.705882352941,0.292682926829,40.0,44.0,1.1,4.12508910953,6.88496228041,11.0100513899
4.0,0.0,2.0,30.01,3.31101552413,3.54256775601,0.489330024814,3.0276502365,3.81871564224,0.000116318100269,0.767740199457,1.0,415.249579253,446.428687633,0.930158815408,5.03317276074,5.57479396147,5.65212476173,5.92315220542,5.94719181021,3.38553067904,2.86204157978,2.74625456474,2.99131581869,3.20005098006,0.184535199583,23.7558724141,0.114354477481,0.0118417219552,12.7716727717,15.7509157509,11.5262515263,23.3943833944,0.0057677364421,0.0608674403893,2.0,0.933465086514,438.427631888,21.2703784925,4.85709854106,3.83895524277,13.5088937865,13.9244853931,3.37654884868,0.188559041071,0.559742799027,21.4726177174,1923.94713129,10633.9625471,11147.7440043,12.0,19.0,39.0,0.631578947368,0.307692307692,34.0,43.0,1.26470588235,4.08704698864,7.10891459213,11.1959615808
4.0,1.0,2.0,30.015,2.65933136222,2.84973286745,4.83381924198,2.87525171164,3.15013400801,0.00692771448809,0.63185368803,1.0,421.858532025,434.063892535,0.971881189106,5.03292511954,5.591578737,5.67506559196,5.94618770846,5.96892687297,2.86627093691,2.77731080135,2.55257068174,2.93842621652,2.83452242307,0.124512906482,19.7228758457,0.112470120626,0.0122717391521,12.5518925519,15.6776556777,11.4774114774,23.4188034188,0.00547839616386,0.0597666353955,2.0,0.935159564507,430.665660334,21.6203800784,4.67806974501,3.71176249818,13.3730055032,13.7866672121,3.35185271592,-0.56593385703,-0.443217318117,21.4392422114,1846.44292052,11964.0534268,12525.0855577,8.0,7.0,25.0,1.14285714286,0.32,36.0,47.0,1.30555555556,4.04569685722,7.27067630621,11.3163731634
