event_idx,slice_idx,event_class,duration,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewnessSig,SkewnessEnv,CorPeakNumber,INT1,INT2,INT_RATIO,ES[0],ES[1],ES[2],ES[3],ES[4],KurtoF[0],KurtoF[1],KurtoF[2],KurtoF[3],KurtoF[4],DistDecAmpEnv,"env_max/duration(Data,sps)",MeanFFT,MaxFFT,FmaxFFT,FCentroid,Fquart1,Fquart3,MedianFFT,VarFFT,NpeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,gamma1,gamma2,gammas,SpecKurtoMaxEnv,SpecKurtoMedianEnv,RATIOENVSPECMAXMEAN,RATIOENVSPECMAXMEDIAN,DISTMAXMEAN,DISTMAXMEDIAN,NBRPEAKMAX,NBRPEAKMEAN,NBRPEAKMEDIAN,RATIONBRPEAKMAXMEAN,RATIONBRPEAKMAXMED,NBRPEAKFREQCENTER,NBRPEAKFREQMAX,RATIONBRFREQPEAKS,DISTQ2Q1,DISTQ3Q2,DISTQ3Q1
0.0,0.0,2.0,40.01,3.20509411844,3.31000266581,58.7164179104,2.86534900655,3.16959255226,0.0172494600213,0.515596808235,1.0,538.254423416,545.747662897,0.986269772661,5.15247709339,5.70084125003,5.78435798202,6.07584746634,6.10554419674,3.26017173193,3.01819576043,2.82434815863,2.81973320832,2.72932762834,0.229095838832,17.791421013,0.103920746462,0.0141916333932,12.967032967,14.5299145299,10.9401709402,19.8778998779,0.00306311166885,0.0597567973852,3.0,0.892503604096,412.558210983,8.45901370899,2.58160118594,2.05956304672,13.1820615911,13.5018123213,2.92099095669,0.0294113395951,2.02499220923,22.87908161,2319.21725319,12483.3851767,13051.8727772,9.0,27.0,27.0,0.333333333333,0.333333333333,33.0,65.0,1.9696969697,3.62163291081,5.67651969308,9.29815260389
0.0,1.0,2.0,40.015,3.22257234836,3.37701679303,1.92614259598,2.90628521247,3.26973368586,0.00929305322025,0.596280597557,1.0,495.328906234,510.763474814,0.969781377603,5.14941472749,5.69699969126,5.7767631861,6.05475128944,6.09988511511,2.90278135021,2.99809344951,2.84384848633,2.90043338449,2.72954365857,0.194344287187,17.8113356087,0.112698432338,0.0141249732591,12.8205128205,16.3614163614,11.8681318681,25.9829059829,0.00801496159163,0.0595841268484,3.0,0.898288056851,427.343950004,21.576732959,7.01902413633,5.67041170201,13.4984363299,13.9059901059,3.3419720936,0.04565997338,1.66339039593,23.004315484,2253.73763384,12782.650689,13351.0446712,11.0,28.0,24.0,0.392857142857,0.458333333333,51.0,58.0,1.13725490196,3.83023580283,6.27390498929,10.1041407921
1.0,0.0,2.0,40.01,2.54066322017,2.64663441894,3.55176336746,2.82107905722,2.85813955849,0.00332360384985,0.489127689043,1.0,548.912550291,603.271574889,0.90989294563,5.15049192632,5.7042644795,5.78610586922,6.08512585579,6.10576341146,3.15800348061,2.94362675592,2.74498356846,2.77273961965,2.66012505952,0.0925687358535,14.1537956481,0.101986077997,0.0140216116555,12.8449328449,13.9682539683,10.6715506716,18.1929181929,0.00130673230933,0.060307069383,1.0,1.0,409.719758521,6.17208720593,1.04847884056,0.794269297989,13.1380252455,13.442102448,2.84295811991,-0.426580994894,2.65577041626,22.7381683282,2330.5324574,12664.0219112,13230.0451781,15.0,21.0,51.0,0.714285714286,0.294117647059,39.0,51.0,1.30769230769,3.63646250029,5.57197108724,9.20843358754
1.0,1.0,2.0,40.015,3.16959301394,3.25867169823,8.26273148148,2.81798804452,3.19322273112,0.0223210191967,0.512344135411,1.0,514.732583244,529.5406626,0.972035991941,5.16015796229,5.70352780629,5.78562898728,6.07890785309,6.10797901546,3.34312821334,3.00423978317,2.83016765974,2.80937982503,2.72233396901,0.188262344682,17.8139164263,0.102890742941,0.0144671957095,12.8449328449,14.0659340659,10.695970696,18.4126984127,0.00158835025541,0.0597817167044,2.0,0.919574256337,412.022183876,7.55865328417,1.08731003253,0.771958789547,13.1878400996,13.5024948465,2.89797180574,0.319392018102,2.25450946663,22.8569050995,2362.65836785,13039.3353031,13623.505289,14.0,32.0,55.0,0.4375,0.254545454545,38.0,56.0,1.47368421053,3.65697676574,5.73830964924,9.39528641498
1.0,2.0,2.0,40.01,3.21750106663,3.39878019913,1.31004618938,2.89844977998,3.34340359763,0.0187649943591,0.621424688864,1.0,451.89505427,485.372757522,0.931026818598,5.1478492107,5.69800547401,5.78168420554,6.05996139261,6.09451424912,2.88389685683,2.99302107026,2.83746628006,2.87735544424,2.78129833631,0.189969610808,17.8133213086,0.109448268371,0.014267385479,12.8205128205,15.2625152625,11.3553113553,21.7338217338,0.00403106892583,0.059745160281,1.0,1.0,425.71331082,16.4755279265,3.39643066885,2.71355555132,13.4202283409,13.796515032,3.20020285394,-0.29014583445,2.32477869239,23.1711333012,2251.91677906,12516.6576619,13083.0330217,9.0,24.0,33.0,0.375,0.272727272727,48.0,55.0,1.14583333333,3.83270740108,6.52773812922,10.3604455303
2.0,0.0,2.0,40.015,2.54329504015,2.64172807558,2.80190023753,2.80196332618,2.82034540421,0.00675036973304,0.456768482987,1.0,553.563377877,583.425019474,0.948816659212,5.15258641863,5.70380905851,5.78154454248,6.0796716364,6.10641257198,3.15367203059,2.93544883575,2.78875019893,2.80624497614,2.63332810504,0.0883879887286,14.1563450742,0.103530746465,0.0140609435162,12.8937728938,14.4078144078,10.8913308913,19.5848595849,0.00287398985918,0.0602993165328,2.0,0.884971423492,411.986406809,7.69169232877,2.43650380173,1.94635561593,13.1493359633,13.4605556345,2.87776331779,0.196412346128,0.284965309968,23.0372366195,2030.7575912,12831.9351361,13402.2882377,15.0,22.0,60.0,0.681818181818,0.25,39.0,51.0,1.30769230769,3.65178640942,5.89649193703,9.54827834645
2.0,1.0,2.0,40.01,3.18576591644,3.28158124229,5.6132231405,2.83714397425,3.20609348006,0.0277656245019,0.524869496333,1.0,522.310480368,530.529727639,0.98450747085,5.15522505994,5.69987441291,5.78366827419,6.07255916905,6.10708510985,3.16857899303,3.03273846505,2.85284448193,2.89539761747,2.73410794151,0.18731575727,17.8135643441,0.103743618426,0.0142350602875,12.8449328449,14.2857142857,10.8180708181,19.0476190476,0.00213071399838,0.0597384156508,3.0,0.894749755005,413.141817204,8.95437245881,1.60577191162,1.23132035747,13.1940711359,13.5138765837,2.92255832813,1.02632653061,2.51995457939,23.0083784636,2060.04175784,13156.0613119,13740.5233118,15.0,30.0,72.0,0.5,0.208333333333,33.0,54.0,1.63636363636,3.66636883908,6.00573657953,9.67210541861
2.0,2.0,2.0,40.015,3.23994589221,3.43800994001,1.09997376017,2.96205954061,3.36887451794,0.0202948491181,0.659813189941,1.0,445.808672062,502.191078648,0.887727183967,5.14752757231,5.70213955608,5.78610742225,6.05846651926,6.09014067432,2.90770341149,2.97239196471,2.80548996365,2.96992840587,2.96578423123,0.187909507118,17.8110320555,0.109060648731,0.0140755359664,12.8205128205,14.8717948718,11.1355311355,20.4151404151,0.00260499644067,0.0601481909594,2.0,0.926555157331,427.73750898,15.2519699037,2.0873649487,1.63478300558,13.4054236252,13.780891482,3.19493152772,-0.28128608104,0.921009652015,22.3186829033,1976.70106039,12234.8831505,12800.0274574,12.0,25.0,48.0,0.48,0.25,42.0,56.0,1.33333333333,3.90166499216,6.68641473666,10.5880797288
4.0,0.0,2.0,40.015,3.20349799425,3.4357485171,0.106762550131,2.93146776133,3.58636078035,0.0028191392125,0.723722548373,1.0,503.45222373,528.117173189,0.953296444971,5.15718363461,5.7154911801,5.79387055053,6.06896826427,6.09305319373,2.86434686508,2.81377533577,2.61275672349,2.93299964325,2.99075031622,0.168947134387,17.8091406187,0.10927447875,0.0140646616373,12.8205128205,14.8473748474,11.1111111111,20.4151404151,0.00241996681011,0.0601872477984,2.0,0.924854914242,427.733922591,16.3626069721,1.95576378288,1.53524605897,13.3515967838,13.7344524863,3.22025595553,-0.120733714193,0.246972520356,23.0086622498,1909.11350502,12764.6322203,13335.6782694,10.0,8.0,27.0,1.25,0.37037037037,46.0,62.0,1.34782608696,3.88510528391,7.01093558644,10.8960408703
5.0,0.0,2.0,40.015,3.19061767117,3.44181476546,63.024,2.96913586576,3.37172120163,0.0704931334505,0.705102442194,1.0,557.439088799,501.544264923,1.11144544517,5.17866978727,5.71915343475,5.79281079965,6.08244566858,6.10468740118,2.82863370067,2.96492000304,2.78554295476,2.77972947992,2.92238859804,0.236983340405,19.397927563,0.124037142324,0.0140911413873,12.8937728938,16.8742368742,11.9413919414,26.3003663004,0.00726013133091,0.0620795039842,2.0,0.910146768765,458.106820896,38.5282927482,6.40233021867,5.01630060348,13.9441649335,14.542948088,4.13008515612,0.480963165241,-0.162839869628,22.2700143146,2179.44577219,14622.0964892,15301.0625978,9.0,14.0,38.0,0.642857142857,0.236842105263,20.0,1.0,0.05,5.37028867032,7.76699749009,13.1372861604
