event_idx,slice_idx,event_class,duration,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewnessSig,SkewnessEnv,CorPeakNumber,INT1,INT2,INT_RATIO,ES[0],ES[1],ES[2],ES[3],ES[4],KurtoF[0],KurtoF[1],KurtoF[2],KurtoF[3],KurtoF[4],DistDecAmpEnv,"env_max/duration(Data,sps)",MeanFFT,MaxFFT,FmaxFFT,FCentroid,Fquart1,Fquart3,MedianFFT,VarFFT,NpeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,gamma1,gamma2,gammas,SpecKurtoMaxEnv,SpecKurtoMedianEnv,RATIOENVSPECMAXMEAN,RATIOENVSPECMAXMEDIAN,DISTMAXMEAN,DISTMAXMEDIAN,NBRPEAKMAX,NBRPEAKMEAN,NBRPEAKMEDIAN,RATIONBRPEAKMAXMEAN,RATIONBRPEAKMAXMED,NBRPEAKFREQCENTER,NBRPEAKFREQMAX,RATIONBRFREQPEAKS,DISTQ2Q1,DISTQ3Q2,DISTQ3Q1
0.0,0.0,2.0,20.005,3.16452218217,3.32327794767,4.45095367847,2.92685240493,3.47011059052,0.0219792317995,0.615471831434,1.0,289.871122526,368.448534015,0.786734362511,4.85616263425,5.39981935607,5.48345902426,5.76162586873,5.8102035608,3.11209695518,3.14730650815,2.9695605339,2.90436303448,2.80251240046,0.188676861074,35.6213783308,0.105244931803,0.0102119002836,12.7960927961,14.652014652,10.989010989,20.2197802198,0.00356007920126,0.0599762864766,2.0,0.921685816062,415.739903743,10.4185081501,2.78774213417,2.13606894351,13.2297825554,13.5545099957,2.9491684862,1.89496971219,-0.486161625389,24.6553769051,3060.85219281,12633.6936755,13184.6893973,10.0,14.0,18.0,0.714285714286,0.555555555556,23.0,26.0,1.13043478261,3.50106126857,5.3915943529,8.89265562147
0.0,1.0,2.0,20.01,3.31658615367,3.55054187315,1.06821705426,3.1262941682,3.89234798074,0.00253274997705,0.772885611155,1.0,344.30578953,353.403741667,0.974256208795,4.85329383262,5.39504919291,5.47310622061,5.74367670049,5.77668468135,2.98048800411,3.16437849227,3.17022645739,2.98231641227,3.06322628475,0.199107766541,35.6186406979,0.118652694691,0.00972077518407,12.7960927961,17.4358974359,12.2344322344,30.2808302808,0.0122601524129,0.059778747988,3.0,0.889587464097,436.803727726,29.6657044431,10.8032849183,8.72461112925,13.6098259381,14.0990223084,3.68172079186,0.451981914062,1.05587398243,22.7617014103,2162.7378969,11464.2096014,11981.9706698,8.0,15.0,11.0,0.533333333333,0.727272727273,26.0,22.0,0.846153846154,3.80006650116,6.45411294698,10.2541794481
0.0,2.0,2.0,20.01,3.40284362091,3.61441273238,0.276555023923,3.08381371761,4.32058838128,0.0275095089188,0.845710470374,1.0,393.038854578,395.801863277,0.993019212501,4.83944698216,5.38756775909,5.4623592866,5.72464265771,5.74242576268,2.8327613698,2.9272963377,2.85302926343,3.02372752957,3.5006379238,0.192856936946,35.6335834349,0.114343272147,0.00945954779666,12.8205128205,15.0671550672,11.2087912088,20.5860805861,0.00258308581778,0.0618399634293,2.0,0.92186886506,445.209036623,20.220929579,1.71792954442,1.20153902643,13.6742694705,14.1018355517,3.44617474533,-0.514706827426,0.566712751466,21.5333309302,2586.88416425,9759.18424876,10230.3855416,5.0,12.0,40.0,0.416666666667,0.125,33.0,32.0,0.969696969697,4.20407357129,7.34412852225,11.5482020935
1.0,0.0,2.0,20.01,2.39354431367,2.4773807498,0.854494902688,2.72881735138,2.6487967904,0.0352138586763,0.386928805363,1.0,332.513333012,383.926750423,0.86608534739,4.86320175625,5.40310053515,5.48515912,5.79319387881,5.84889904126,2.83496075135,3.01383831336,2.8466433885,2.87906556215,2.3614988262,0.0865524758437,28.2972652137,0.104237483165,0.0106598886586,12.8693528694,15.5311355311,11.5262515263,23.7118437118,0.00647674241695,0.0583473482989,2.0,0.919637463203,404.18217505,12.6964826481,5.59478171163,4.4811412526,13.2257120991,13.5506168888,2.94953513905,0.172294904078,0.427746694521,25.1265979045,2849.33319331,13950.2015027,14534.288707,8.0,17.0,28.0,0.470588235294,0.285714285714,25.0,31.0,1.24,3.38355921229,5.2370916491,8.62065086139
1.0,1.0,2.0,20.005,2.50681888468,2.63773183845,0.19148302561,2.83540101398,2.77172303287,0.0461096606739,0.476939982537,1.0,296.634184519,339.15818437,0.874618977778,4.85214136436,5.400932929,5.49026005133,5.77570907199,5.81445888251,2.89796290783,3.08248471231,2.90898611548,2.83129331429,2.47916385796,0.101639796144,28.4168140044,0.104629640756,0.0104085730038,12.8205128205,14.9938949939,11.1843711844,21.514041514,0.00476115480818,0.0587124027573,2.0,0.930792339642,409.632760942,12.0202322075,3.89251744612,3.01600396681,13.214857376,13.5378492549,2.93954196773,0.628511167885,0.175815451759,23.9377239743,2632.31245506,13061.2360086,13633.8194152,7.0,15.0,21.0,0.466666666667,0.333333333333,16.0,24.0,1.5,3.52356166233,5.48009590168,9.00365756401
1.0,2.0,2.0,20.01,3.21891711682,3.38015398535,2.76127819549,2.98607374636,3.48437113534,0.021537623324,0.631799902496,1.0,343.575587037,347.293708874,0.989294013274,4.85114154782,5.39958839225,5.48716478782,5.77111889701,5.7977183855,3.0739449791,3.18140771344,2.95969473634,2.87708241459,2.88451050503,0.187093738378,35.6082471141,0.107530795892,0.0100754384313,12.7960927961,15.3601953602,11.3553113553,22.735042735,0.0055638334607,0.05974357528,2.0,0.929767139719,417.157895823,14.8019446048,4.74083422601,3.74365939585,13.2299594298,13.5758390611,3.04492687899,0.0168160186725,0.0258088879505,24.0870302993,2296.33546562,11958.5488283,12492.2426286,11.0,15.0,20.0,0.733333333333,0.55,24.0,27.0,1.125,3.5910628436,5.95710424932,9.54816709292
1.0,3.0,2.0,20.01,3.38245076789,3.58173901913,0.767667844523,3.07952903954,4.20890343364,0.00382402235088,0.793012170636,1.0,365.114862166,373.365115766,0.977902987581,4.83490447223,5.38473418106,5.46430780241,5.72555766189,5.76162611361,2.88439756571,2.97761455988,2.86737091073,2.98751857621,3.18560544631,0.196831629277,35.6193894212,0.117162660551,0.00941150662509,12.8205128205,16.4835164835,11.8681318681,25.7631257631,0.00793054918697,0.0603964293188,2.0,0.925111969923,440.911216902,26.8215488856,6.78607615813,5.37687183252,13.6586460074,14.1142054891,3.55699112063,0.529802133385,3.6583904733,22.6445408404,2176.41067332,10891.8330068,11393.1653987,7.0,13.0,42.0,0.538461538462,0.166666666667,34.0,21.0,0.617647058824,3.89806821619,6.66811669204,10.5661849082
1.0,4.0,2.0,20.01,3.36069444207,3.57793613056,0.155311778291,3.03504193832,4.26152937395,0.0063422748795,0.837292598238,1.0,405.142068721,370.01427694,1.09493631454,4.84628707877,5.39519983391,5.47722766657,5.73054775287,5.73713863045,2.85812647721,2.88532821134,2.70059743833,3.04087616783,3.57818334421,0.189969610808,35.6132599894,0.117280752021,0.00958040022598,13.0891330891,16.336996337,11.7948717949,25.2258852259,0.00738795318848,0.0607323685407,3.0,0.883396461468,443.249244753,25.7153409907,6.33133056756,5.08364203666,13.6459084378,14.1037513407,3.56440524992,0.549400534302,2.02915595777,20.7047680183,1894.03845977,9817.84889486,10299.4260434,3.0,10.0,33.0,0.3,0.0909090909091,33.0,28.0,0.848484848485,4.35507621383,7.6606340611,12.0157102749
2.0,0.0,2.0,20.01,3.16199763205,3.32337452763,18.0571428571,2.99731754276,3.32796693775,0.0551457039923,0.617920973765,1.0,303.295345925,338.816967394,0.895159850636,4.8515888202,5.39800001239,5.48826909136,5.76721509634,5.81940728565,3.04592265391,3.14535973288,2.91811987988,3.00718611923,2.78312865203,0.251807887589,35.5894087323,0.105652014365,0.0102172880862,12.8205128205,15.115995116,11.2820512821,21.8070818071,0.00485944946874,0.0600832734607,2.0,0.934348281668,413.83537058,11.4539170917,4.15031556405,3.30946820641,13.2445529689,13.5709145002,2.95829968483,1.85671277273,1.15317680698,24.6480941599,2250.45272594,13110.6994296,13670.9497357,7.0,14.0,24.0,0.5,0.291666666667,22.0,27.0,1.22727272727,3.51156145233,5.87460280555,9.38616425787
2.0,1.0,2.0,20.005,3.2268249839,3.43273341269,1.83758865248,3.07292125547,3.58333472895,0.00110241844671,0.709866801366,1.0,330.825642797,362.959381661,0.911467396939,4.85504315275,5.39768999489,5.48735704412,5.76192446913,5.79209936074,3.00378759099,3.17432178384,2.93722792639,2.91384610857,2.91877320699,0.185121849311,35.6217101195,0.109960107372,0.0101667815611,12.7960927961,15.6288156288,11.5018315018,23.2967032967,0.00593482936591,0.0593369278806,3.0,0.877149240854,422.63911024,19.0764306301,4.88909562588,3.79015097171,13.3829683953,13.7558194775,3.18099456577,0.571064715681,0.748447161927,22.7011961044,2084.07417754,11796.1755918,12329.2205686,10.0,11.0,41.0,0.909090909091,0.243902439024,25.0,33.0,1.32,3.7625658449,6.0366056406,9.7991714855
